date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-04 13:40:58,1457516.1531687682,5.0,3.04,2985,45333,1.3,0,1,3,2496,446,1968,1579,27736 23rd Avenue South,Renton,WA 98107,USA
2014-05-25 01:48:39,1846768.5961694452,3.0,2.64,2541,58388,2.1,0,0,2,2357,226,1974,160,44250 SE Edgewick Rd,Issaquah,WA 98029,USA
2014-06-29 05:36:31,806566.7610336812,4.0,2.88,2798,8960,1.5,0,2,3,2143,605,1965,1672,4811-4815 38th Ave NE,Seattle,WA 98052,USA
2014-06-16 02:02:56,112700.77057466288,3.0,1.48,1089,6141,1.1,0,0,3,1005,257,1933,974,5201 NE 11th Ct,Seattle,WA 98178,USA
2014-05-07 17:30:01,93750.8392894362,3.0,1.78,1559,54191,1.1,0,2,4,1249,359,1937,434,15804 198th Pl NE,Redmond,WA 98056,USA
2014-06-30 23:49:00,712407.1367289792,4.0,1.58,2167,11984,1.3,0,1,5,1884,385,1943,953,37124-37118 237th Pl SE,Seattle,WA 98055,USA
2014-07-03 16:50:04,375319.1540611291,3.0,2.02,1659,23381,1.6,0,1,3,1889,123,1981,54,1024 15th Ave E,Kenmore,WA 98119,USA
2014-06-14 17:14:04,2925592.8975459426,4.0,2.22,3650,62702,1.8,0,2,3,3061,310,1913,1916,16084 SE 172nd Pl,Seattle,WA 98126,USA
2014-06-23 14:06:30,1254756.9269107445,3.0,1.52,2059,7595,2.4,0,1,2,1969,467,1926,1908,5424 298th Ave SE,Seattle,WA 98029,USA
2014-06-07 10:06:21,2012385.385610564,3.0,1.84,2671,8066,1.1,0,1,3,2682,150,1947,837,36656 55th Pl S,Redmond,WA 98038,USA
2014-05-05 11:28:47,377728.682189304,2.0,1.08,616,45320,1.9,0,2,5,893,14,1945,510,34434 30th Ave SW,Seattle,WA 98003,USA
2014-06-24 14:23:28,299146.0493716452,3.0,1.09,1805,40912,1.1,0,0,3,1771,108,1983,1566,12611 SE 160th St,Auburn,WA 98070,USA
2014-05-26 14:37:16,380825.5160397092,1.0,1.63,773,6029,1.0,0,0,4,469,899,1981,1593,8121 NE 147th Pl,Bellevue,WA 98116,USA
2014-07-02 17:37:33,697401.5195613317,4.0,1.44,1700,3259,1.3,0,1,2,1400,540,1953,1482,15224 SE 175th Pl,Seattle,WA 98059,USA
2014-05-26 20:25:12,166275.1467299566,2.0,1.73,942,33694,1.3,0,1,4,1177,29,1908,91,3924 SW 316th St,Sammamish,WA 98059,USA
